+0001.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000
+0000.9999985542573998,+0000.0000007807010040,+0000.0000006168501760,+0000.0000000096382840,+0000.0000000385531360
+0000.9999947997624435,+0000.0000028183294216,+0000.0000019985935089,+0000.0000000810579863,+0000.0000003022566396
+0000.9999892320712899,+0000.0000057335401986,+0000.0000036724738666,+0000.0000003033372993,+0000.0000010585773457
+0000.9999820149952977,+0000.0000092331138022,+0000.0000053754036608,+0000.0000007892264648,+0000.0000025872607746
+0000.9999731257433656,+0000.0000130921842396,+0000.0000069705864494,+0000.0000016651849967,+0000.0000051463009486
+0000.9999624426226800,+0000.0000171399849244,+0000.0000083957352688,+0000.0000030639978949,+0000.0000089576592322
+0000.9999497971690925,+0000.0000212484305052,+0000.0000096311963030,+0000.0000051193978122,+0000.0000142038062873
+0000.9999350044176477,+0000.0000253229830002,+0000.0000106805589660,+0000.0000079622389028,+0000.0000210298014833
+0000.9999178798698709,+0000.0000292953564889,+0000.0000115590549182,+0000.0000117178631097,+0000.0000295478556122
+0000.9998982484688632,+0000.0000331177004781,+0000.0000122867801711,+0000.0000165043755552,+0000.0000398426749325
+0000.9998759488563616,+0000.0000367579715452,+0000.0000128848745647,+0000.0000224316062831,+0000.0000519766912457
+0000.9998508349129374,+0000.0000401962590445,+0000.0000133734904732,+0000.0000296005838561,+0000.0000659947536885
+0000.9998227757909689,+0000.0000434218760504,+0000.0000137708238437,+0000.0000381033847141,+0000.0000819281244228
+0000.9997916551609400,+0000.0000464310633843,+0000.0000140927589169,+0000.0000480232526807,+0000.0000997977640780
+0000.9997573700918579,+0000.0000492251841745,+0000.0000143528527393,+0000.0000594349071583,+0000.0001196169640700
+0000.9997198298046299,+0000.0000518093103079,+0000.0000145624947702,+0000.0000724049776414,+0000.0001413934126503
+0000.9996789544283147,+0000.0000541911214252,+0000.0000147311446507,+0000.0000869925172138,+0000.0001651307883958
+0000.9996346738250191,+0000.0000563800526815,+0000.0000148665928768,+0000.0001032495595069,+0000.0001908299699154
+0000.9995869265123971,+0000.0000583866400545,+0000.0000149752144350,+0000.0001212216928300,+0000.0002184899402830
+0000.9995356586922363,+0000.0000602220221086,+0000.0000150622005749,+0000.0001409486323720,+0000.0002481084527084
+0000.9994808233829044,+0000.0000618975652900,+0000.0000151317627025,+0000.0001624647769410,+0000.0002796825121620
+0000.9994223796483012,+0000.0000634245863988,+0000.0000151873073213,+0000.0001857997409821,+0000.0003132087169966
+0000.9993602919139647,+0000.0000648141511827,+0000.0000152315835527,+0000.0002109788558837,+0000.0003486834954159
+0000.9992945293607214,+0000.0000660769322550,+0000.0000152668059997,+0000.0002380236370404,+0000.0003861032639836
+0000.9992250653867885,+0000.0000672231129626,+0000.0000152947561367,+0000.0002669522149845,+0000.0004254645291276
+0000.9991518771301522,+0000.0000682623265830,+0000.0000153168654083,+0000.0002977797302435,+0000.0004667639476132
+0000.9990749450440096,+0000.0000692036224333,+0000.0000153342829779,+0000.0003305186925529,+0000.0005099983580260
+0000.9989942525190423,+0000.0000700554522461,+0000.0000153479307405,+0000.0003651793057276,+0000.0005551647922434
+0000.9989097855471024,+0000.0000708256715792,+0000.0000153585478525,+0000.0004017697599477,+0000.0006022604735183
+0000.9988215324216615,+0000.0000715215521622,+0000.0000153667266898,+0000.0004402964934960,+0000.0006512828059906
+0000.9987294834709710,+0000.0000721498019812,+0000.0000153729418267,+0000.0004807644261335,+0000.0007022293590876
+0000.9986336308204125,+0000.0000727165906256,+0000.0000153775733553,+0000.0005231771663609,+0000.0007550978492457
+0000.9985339681809500,+0000.0000732275779906,+0000.0000153809256290,+0000.0005675371947970,+0000.0008098861206334
+0000.9984304906609622,+0000.0000736879448802,+0000.0000153832423120,+0000.0006138460258487,+0000.0008665921259968
+0000.9983231945990340,+0000.0000741024244169,+0000.0000153847184552,+0000.0006621043497482,+0000.0009252139083456
+0000.9982120774155511,+0000.0000744753334424,+0000.0000153855101798,+0000.0007123121569192,+0000.0009857495839078
+0000.9980971374811644,+0000.0000748106033152,+0000.0000153857424378,+0000.0007644688465031,+0000.0010481973265797
+0000.9979783740003879,+0000.0000751118096854,+0000.0000153855152308,+0000.0008185733207401,+0000.0011125553539555
+0000.9978557869087569,+0000.0000753822009569,+0000.0000153849085901,+0000.0008746240667644,+0000.0011788219149315
+0000.9977293767821322,+0000.0000756247252534,+0000.0000153839865644,+0000.0009326192272357,+0000.0012469952788145
+0000.9975991447568707,+0000.0000758420557809,+0000.0000153828004132,+0000.0009925566611012,+0000.0013170737258340
+0000.9974650924597059,+0000.0000760366145404,+0000.0000153813911620,+0000.0010544339956567,+0000.0013890555389354
+0000.9973272219462815,+0000.0000762105943865,+0000.0000153797916477,+0000.0011182486709601,+0000.0014629389967244
+0000.9971855356474031,+0000.0000763659794620,+0000.0000153780281562,+0000.0011839979775428,+0000.0015387223674360
+0000.9970400363221439,+0000.0000765045640601,+0000.0000153761217315,+0000.0012516790882619,+0000.0016164039038026
+0000.9968907270170371,+0000.0000766279699822,+0000.0000153740892244,+0000.0013212890850478,+0000.0016959818387086
+0000.9967376110306595,+0000.0000767376624694,+0000.0000153719441307,+0000.0013928249812150,+0000.0017774543815252
+0000.9965806918829851,+0000.0000768349647908,+0000.0000153696972626,+0000.0014662837399296,+0000.0018608197150318
+0000.9964199732889401,+0000.0000769210715769,+0000.0000153673572853,+0000.0015416622893567,+0000.0019460759928409
