+0000.7500000000000000+0000.0000000000000000j,+0000.2000000000000000+0000.0000000000000000j,+0000.4000000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j
+0000.2000000000000000+0000.0000000000000000j,+0000.7500000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j
+0000.4000000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j,+0000.7500000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j
+0000.0000000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j,+0000.7500000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j
+0000.0000000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j,+0000.7500000000000000+0000.0000000000000000j
