+0001.2500000000000000+0000.0000000000000000j,+0000.2000000000000000+0000.0000000000000000j,+0001.0000000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j
+0000.2000000000000000+0000.0000000000000000j,+0000.5833333333333333+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j
+0001.0000000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j,+0000.6250000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j
+0000.0000000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j,+0000.9166666666666666+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j
+0000.0000000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j,+0000.0000000000000000+0000.0000000000000000j,+0000.6250000000000000+0000.0000000000000000j
