+0001.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000
+0000.4391361902380361,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0071144351300437,+0000.1143993941354108,+0000.4393499804965094
+0000.1463445887884112,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0108284327509974,+0000.1741200985752095,+0000.6687068798853820
+0000.0739835119852905,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0117463172318563,+0000.1888795877795071,+0000.7253905830033464
+0000.0494511591715988,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0120575047779995,+0000.1938834519079371,+0000.7446078841424647
+0000.0303809727434830,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0122994059345712,+0000.1977731979308650,+0000.7595464233910808
+0000.0128394421647455,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0125219164250182,+0000.2013511440124048,+0000.7732874973978313
+0000.0048337394509404,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0126234670182932,+0000.2029840672357382,+0000.7795587262950283
+0000.0020066526762108,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0126593279975822,+0000.2035607081395872,+0000.7817733111866199
+0000.0009102753652914,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0126732353047053,+0000.2037843362252827,+0000.7826321531047206
+0000.0004186386416087,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0126794716093434,+0000.2038846153703178,+0000.7830172743787303
+0000.0001861433977668,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0126824207608158,+0000.2039320374263890,+0000.7831993984150283
+0000.0000806465542142,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0126837589652726,+0000.2039535556181061,+0000.7832820388624073
+0000.0000349646254754,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0126843384305777,+0000.2039628733613437,+0000.7833178235826033
+0000.0000153339102977,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0126845874419192,+0000.2039668774384186,+0000.7833332012093646
+0000.0000067665145261,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0126846961174664,+0000.2039686249301778,+0000.7833399124378296
+0000.0000029814363526,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0126847441303577,+0000.2039693969725921,+0000.7833428774606974
+0000.0000013089501402,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0126847653454806,+0000.2039697381096134,+0000.7833441875947659
+0000.0000005738834670,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0126847746696411,+0000.2039698880411664,+0000.7833447634057256
+0000.0000002518098280,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0126847787550750,+0000.2039699537345283,+0000.7833450157005689
+0000.0000001106063543,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0126847805462103,+0000.2039699825358015,+0000.7833451263116339
+0000.0000000485953287,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0126847813328066,+0000.2039699951841907,+0000.7833451748876739
+0000.0000000213436265,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0126847816784885,+0000.2039700007427205,+0000.7833451962351645
+0000.0000000093716292,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0126847818303507,+0000.2039700031846489,+0000.7833452056133715
+0000.0000000041148309,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0126847818970320,+0000.2039700042568780,+0000.7833452097312592
+0000.0000000018069199,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0126847819263074,+0000.2039700047276226,+0000.7833452115391502
+0000.0000000007935212,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0126847819391621,+0000.2039700049343255,+0000.7833452123329911
+0000.0000000003484775,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0126847819448074,+0000.2039700050251011,+0000.7833452126816142
+0000.0000000001530293,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0126847819472866,+0000.2039700050649667,+0000.7833452128347176
+0000.0000000000671996,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0126847819483753,+0000.2039700050824733,+0000.7833452129019518
+0000.0000000000295095,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0126847819488534,+0000.2039700050901610,+0000.7833452129314762
