+0001.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000
+0000.9998110624696830,+0000.0000944591274556,+0000.0000944591274556,+0000.0000000096377030,+0000.0000000096377030
+0000.9992518254740987,+0000.0003740011106802,+0000.0003740011106802,+0000.0000000861522705,+0000.0000000861522705
+0000.9983335501890085,+0000.0008328826405483,+0000.0008328826405483,+0000.0000003422649475,+0000.0000003422649475
+0000.9970673396213768,+0000.0014653859466430,+0000.0014653859466430,+0000.0000009442426686,+0000.0000009442426686
+0000.9954641141385903,+0000.0022658329394681,+0000.0022658329394681,+0000.0000021099912369,+0000.0000021099912369
+0000.9935345902688832,+0000.0032285976762033,+0000.0032285976762033,+0000.0000041071893552,+0000.0000041071893552
+0000.9912892625593523,+0000.0043481172474029,+0000.0043481172474029,+0000.0000072514729209,+0000.0000072514729209
+0000.9887383882792553,+0000.0056189011831033,+0000.0056189011831033,+0000.0000119046772690,+0000.0000119046772690
+0000.9858919747597557,+0000.0070355394766623,+0000.0070355394766623,+0000.0000184731434599,+0000.0000184731434599
+0000.9827597691664655,+0000.0085927093235044,+0000.0085927093235044,+0000.0000274060932628,+0000.0000274060932628
+0000.9793512505077455,+0000.0102851806699584,+0000.0102851806699584,+0000.0000391940761690,+0000.0000391940761690
+0000.9756756236894267,+0000.0121078206647025,+0000.0121078206647025,+0000.0000543674905840,+0000.0000543674905840
+0000.9717418154351826,+0000.0140555971021219,+0000.0140555971021219,+0000.0000734951802868,+0000.0000734951802868
+0000.9675584719009039,+0000.0161235809432565,+0000.0161235809432565,+0000.0000971831062916,+0000.0000971831062916
+0000.9631339578210053,+0000.0183069479960878,+0000.0183069479960878,+0000.0001260730934096,+0000.0001260730934096
+0000.9584763570343331,+0000.0206009798327711,+0000.0206009798327711,+0000.0001608416500624,+0000.0001608416500624
+0000.9535934742471890,+0000.0230010640171582,+0000.0230010640171581,+0000.0002021988592474,+0000.0002021988592474
+0000.9484928379007629,+0000.0255026937116341,+0000.0255026937116340,+0000.0002508873379845,+0000.0002508873379845
+0000.9431817040198849,+0000.0281014667279818,+0000.0281014667279817,+0000.0003076812620759,+0000.0003076812620759
+0000.9376670609293714,+0000.0307930840827305,+0000.0307930840827303,+0000.0003733854525838,+0000.0003733854525838
+0000.9319556347333190,+0000.0335733481132831,+0000.0335733481132830,+0000.0004488345200575,+0000.0004488345200575
+0000.9260538954613684,+0000.0364381602070916,+0000.0364381602070914,+0000.0005348920622243,+0000.0005348920622243
+0000.9199680637942802,+0000.0393835181922707,+0000.0393835181922704,+0000.0006324499105894,+0000.0006324499105894
+0000.9137041182890004,+0000.0424055134343461,+0000.0424055134343458,+0000.0007424274211539,+0000.0007424274211539
+0000.9072678030308218,+0000.0455003276803212,+0000.0455003276803209,+0000.0008657708042681,+0000.0008657708042681
+0000.9006646356471855,+0000.0486642296879397,+0000.0486642296879393,+0000.0010034524884678,+0000.0010034524884678
+0000.8938999156241643,+0000.0518935716749139,+0000.0518935716749135,+0000.0011564705130042,+0000.0011564705130042
+0000.8869787328726910,+0000.0551847856199988,+0000.0551847856199983,+0000.0013258479436559,+0000.0013258479436559
+0000.8799059764971757,+0000.0585343794450964,+0000.0585343794450959,+0000.0015126323063161,+0000.0015126323063161
+0000.8726863437242804,+0000.0619389331050988,+0000.0619389331050982,+0000.0017178950327613,+0000.0017178950327612
+0000.8653243489543330,+0000.0653950946098931,+0000.0653950946098925,+0000.0019427309129409,+0000.0019427309129409
+0000.8578243329021347,+0000.0688995760008667,+0000.0688995760008661,+0000.0021882575480663,+0000.0021882575480662
+0000.8501904717978290,+0000.0724491493023552,+0000.0724491493023545,+0000.0024556147987308,+0000.0024556147987308
+0000.8424267866219832,+0000.0760406424667544,+0000.0760406424667535,+0000.0027459642222545,+0000.0027459642222544
+0000.8345371523522146,+0000.0796709353304810,+0000.0796709353304800,+0000.0030604884934121,+0000.0030604884934121
+0000.8265253072014729,+0000.0833369555965788,+0000.0833369555965778,+0000.0034003908026852,+0000.0034003908026852
+0000.8183948618305951,+0000.0870356748585456,+0000.0870356748585446,+0000.0037668942261575,+0000.0037668942261575
+0000.8101493085199178,+0000.0907641046788727,+0000.0907641046788716,+0000.0041612410611689,+0000.0041612410611689
+0000.8017920302866238,+0000.0945192927348458,+0000.0945192927348447,+0000.0045846921218429,+0000.0045846921218429
+0000.7933263099361165,+0000.0982983190433332,+0000.0982983190433320,+0000.0050385259886092,+0000.0050385259886092
+0000.7847553390370925,+0000.1020982922755871,+0000.1020982922755859,+0000.0055240382058674,+0000.0055240382058673
+0000.7760822268110987,+0000.1059163461724874,+0000.1059163461724860,+0000.0060425404219640,+0000.0060425404219639
+0000.7673100089282764,+0000.1097496360701591,+0000.1097496360701576,+0000.0065953594657035,+0000.0065953594657034
+0000.7584416562016878,+0000.1135953355454870,+0000.1135953355454855,+0000.0071838363536698,+0000.0071838363536697
+0000.7494800831731322,+0000.1174506331907222,+0000.1174506331907205,+0000.0078093252227126,+0000.0078093252227125
+0000.7404281565836791,+0000.1213127295261155,+0000.1213127295261138,+0000.0084731921820460,+0000.0084731921820459
+0000.7312887037223089,+0000.1251788340593215,+0000.1251788340593197,+0000.0091768140795250,+0000.0091768140795249
+0000.7220645206460561,+0000.1290461625001704,+0000.1290461625001684,+0000.0099215771768026,+0000.0099215771768025
+0000.7127583802649043,+0000.1329119341393103,+0000.1329119341393082,+0000.0107088757282387,+0000.0107088757282386
+0000.7033730402844238,+0000.1367733693991632,+0000.1367733693991611,+0000.0115401104586260,+0000.0115401104586259
+0000.6939112509987460,+0000.1406276875656028,+0000.1406276875656006,+0000.0124166869350254,+0000.0124166869350252
+0000.6843757629259705,+0000.1444721047087512,+0000.1444721047087490,+0000.0133400138282647,+0000.0133400138282645
+0000.6747693342775098,+0000.1483038318012897,+0000.1483038318012873,+0000.0143115010599565,+0000.0143115010599564
+0000.6650947382521900,+0000.1521200730426792,+0000.1521200730426768,+0000.0153325578312271,+0000.0153325578312269
+0000.6553547701451699,+0000.1559180243976825,+0000.1559180243976800,+0000.0164045905297338,+0000.0164045905297336
+0000.6455522542609242,+0000.1596948723575603,+0000.1596948723575576,+0000.0175290005119791,+0000.0175290005119789
+0000.6356900506186527,+0000.1634477929322722,+0000.1634477929322694,+0000.0187071817584029,+0000.0187071817584027
+0000.6257710614375750,+0000.1671739508819450,+0000.1671739508819420,+0000.0199405183992690,+0000.0199405183992688
+0000.6157982373886205,+0000.1708704991957532,+0000.1708704991957501,+0000.0212303821099382,+0000.0212303821099380
+0000.6057745835980689,+0000.1745345788262053,+0000.1745345788262021,+0000.0225781293747621,+0000.0225781293747618
+0000.5957031653877377,+0000.1781633186866106,+0000.1781633186866073,+0000.0239850986195223,+0000.0239850986195220
+0000.5855871137353672,+0000.1817538359192271,+0000.1817538359192238,+0000.0254526072130912,+0000.0254526072130909
+0000.5754296304379256,+0000.1853032364412390,+0000.1853032364412356,+0000.0269819483398000,+0000.0269819483397997
+0000.5652339929596922,+0000.1888086157752900,+0000.1888086157752865,+0000.0285743877448659,+0000.0285743877448656
+0000.5550035589461333,+0000.1922670601707794,+0000.1922670601707757,+0000.0302311603561560,+0000.0302311603561557
+0000.5447417703838560,+0000.1956756480215291,+0000.1956756480215253,+0000.0319534667865450,+0000.0319534667865446
+0000.5344521573862498,+0000.1990314515847192,+0000.1990314515847152,+0000.0337424697221581,+0000.0337424697221577
+0000.5241383415838777,+0000.2023315390051857,+0000.2023315390051816,+0000.0355992902028779,+0000.0355992902028774
+0000.5138040390982442,+0000.2055729766482559,+0000.2055729766482517,+0000.0375250038026243,+0000.0375250038026239
