+0001.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000
+0000.0588235294117646,+0000.0553633217993079,+0000.8858131487889270,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000
+0000.0014397134818895,+0000.0030674229850281,+0000.9954074935324116,+0000.0000853694863901,+0000.0000000005142807,+0000.0000000000000001
+0000.0000350564699407,+0000.0001618344443650,+0000.9994408905195672,+0000.0003622100897750,+0000.0000000084763493,+0000.0000000000000029
+0000.0000009025492681,+0000.0000076682006003,+0000.9991596368130798,+0000.0008317485204503,+0000.0000000439165778,+0000.0000000000000240
+0000.0000000248038243,+0000.0000003402462626,+0000.9985063384947593,+0000.0014931556904339,+0000.0000001407646221,+0000.0000000000000986
+0000.0000000007265254,+0000.0000000145591392,+0000.9976539546068693,+0000.0023456833120089,+0000.0000003467951756,+0000.0000000000002829
+0000.0000000000377194,+0000.0000000006104239,+0000.9966108706437040,+0000.0033884051447982,+0000.0000007235626656,+0000.0000000000006905
+0000.0000000000327263,+0000.0000000000258764,+0000.9953784628644158,+0000.0046201907591182,+0000.0000013463163579,+0000.0000000000015076
+0000.0000000000593142,+0000.0000000000022884,+0000.9939579910995586,+0000.0060397049398010,+0000.0000023038964120,+0000.0000000000026284
+0000.0000000000993797,+0000.0000000000023556,+0000.9923508920791215,+0000.0076454092014756,+0000.0000036986133918,+0000.0000000000042783
+0000.0000000001563717,+0000.0000000000038970,+0000.9905587902403762,+0000.0094355634867464,+0000.0000056461058915,+0000.0000000000067199
+0000.0000000002357843,+0000.0000000000061428,+0000.9885834965207201,+0000.0114082280459363,+0000.0000082751813415,+0000.0000000000100783
+0000.0000000003422137,+0000.0000000000092756,+0000.9864270063072125,+0000.0135612656871160,+0000.0000117276396421,+0000.0000000000145438
+0000.0000000004810047,+0000.0000000000134800,+0000.9840914972036785,+0000.0158923442035838,+0000.0000161580779142,+0000.0000000000203430
+0000.0000000006581165,+0000.0000000000189686,+0000.9815793266113166,+0000.0183989390061619,+0000.0000217336777217,+0000.0000000000277189
+0000.0000000008799709,+0000.0000000000259784,+0000.9788930291077133,+0000.0210783359744301,+0000.0000286339749807,+0000.0000000000369312
+0000.0000000011534396,+0000.0000000000347655,+0000.9760353136282121,+0000.0239276345225858,+0000.0000370506127435,+0000.0000000000482579
+0000.0000000014858460,+0000.0000000000456039,+0000.9730090604547904,+0000.0269437508746222,+0000.0000471870771472,+0000.0000000000619951
+0000.0000000018849565,+0000.0000000000587857,+0000.9698173180164938,+0000.0301234215444592,+0000.0000592584168531,+0000.0000000000784565
+0000.0000000023589705,+0000.0000000000746206,+0000.9664632995055001,+0000.0334632070166271,+0000.0000734909463138,+0000.0000000000979732
+0000.0000000029165086,+0000.0000000000934360,+0000.9629503793131319,+0000.0369594956228114,+0000.0000901219332244,+0000.0000000001208928
+0000.0000000035666005,+0000.0000000001155758,+0000.9592820892904128,+0000.0406085076093025,+0000.0001093992705342,+0000.0000000001475794
+0000.0000000043186732,+0000.0000000001414005,+0000.9554621148379590,+0000.0444062993901488,+0000.0001315811334112,+0000.0000000001784127
